Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.kafkabrokers,"10.101.220.213:9092,10.101.220.214:9092,10.101.220.216:9092"
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.truststore,/etc/script_keystore/dxp.kafka.client.truststore.AWS.shore.jks
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.keystore,/etc/script_keystore/dxp.kafka.client.keystore.AWS.shore.jks
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.passvalue,SetS@!l2o2o
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.debug.option,TRUE
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.mpx.consumer,spark-consumer-100
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.src.kafkatopic,cruise-mxp.cruise_roll
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.src.personOffSet,earliest
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.src.config.id,SrcMXPCruise
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Prod,/data/apps/nbx/MXP/ingestion/conf/SrcCru_TgtCru,spark.voyage.id,SC2002269NCR
