Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.target.sslkafkabrokers,"q-lab-kfk-app1.nls.virginvoyages.com:9097,q-lab-kfk-app2.nls.virginvoyages.com:9097,q-lab-kfk-app3.nls.virginvoyages.com:9097"
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.target.truststore,/etc/script_keystore/kafka.server.0925.truststore.jks
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.target.passvalue,SetSail2020
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.target.keystore,/etc/script_keystore/kafka.server.0925.keystore.jks
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.target.kafka.batch.size,16384
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.src.table.type,hive
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.target.kafka.topic ,shp2shr-qa-mxp.folio 
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.datasource.hive.warehouse.load.staging.dir,/tmp
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.datasource.hive.warehouse.metastoreUri,thrift://q-lab-hdp-ada3.virginvoyages.qa.dev:9083
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.hadoop.hive.llap.daemon.service.hosts,@llap0
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.hadoop.hive.zookeeper.quorum,"q-lab-hdp-ada1.virginvoyages.qa.dev:2181,q-lab-hdp-ada2.virginvoyages.qa.dev:2181,q-lab-hdp-ada1.virginvoyages.qa.dev:2181"
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.sql.hive.hiveserver2.jdbc.url,"jdbc:hive2://q-lab-hdp-ada3.virginvoyages.qa.dev:2181,q-lab-hdp-ada2.virginvoyages.qa.dev:2181,q-lab-hdp-ada1.virginvoyages.qa.dev:2181/;serviceDiscoveryMode=zooKeeper;zooKeeperNamespace=hiveserver2"
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.sql.hive.hiveserver2.jdbc.url.principal,hive/_HOST@VIRGINVOYAGES.QA.DEV
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.sql.hive.metastore.jars,/usr/hdp/current/spark2-client/standalone-metastore/*
SrcShpfolio,TgtkfkaMXPFolio,SC1912065NCM ,QA,/data/apps/nbx/Ship-to-shore/config/Srcfolio_TgtkfkaMXPFolio,spark.sql.hive.metastore.version,3
