Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.sslkafkabrokers,"q-lab-kfk-app1.nls.virginvoyages.com:9097,q-lab-kfk-app2.nls.virginvoyages.com:9097,q-lab-kfk-app3.nls.virginvoyages.com:9097"
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.kafkabrokers,"q-lab-kfk-app1.nls.virginvoyages.com:9097,q-lab-kfk-app2.nls.virginvoyages.com:9097,q-lab-kfk-app3.nls.virginvoyages.com:9097"
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.source.topic.name,qa-ship-guest-mxp.guest
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.seconds,20
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.consumer,spark-shiptoshore-consumer-11
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.truststore,/etc/script_keystore/kafka.server.0925.truststore.jks
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.passvalue,SetSail2020
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.ship.keystore,/etc/script_keystore/kafka.server.0925.keystore.jks
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.shore.target.topic.name,shp2shr-qa-mxp.guest
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.shore.kafkabrokers,"10.9.100.157:9092,10.9.100.142:9092,10.9.100.37:9092"
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.shore.consumer,spark-shoretoship-consumer-final_data-test-12344-11
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.shore.passvalue,yellow*99
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.target.coalesce.value,3
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.personcreated.format,org.apache.phoenix.spark
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.personcreated.mode,overwrite
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.personcreated.table,hbtb_nbx_sailor_tribes
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.personcreated.readhbasezkurl,q-lab-hdp-ada1.virginvoyages.qa.dev:2181/hbase-secure:nbx.service@VIRGINVOYAGES.QA.DEV:/home/nbx.service/nbx.keytab
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.personcreated.offsettable,SHIP.HBTB_NBX_KAFKA_STREAMING_OFFSET
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.kafka.zookeeper,10.2.52.146:2181
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.src.voyageid,SCM2016N
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.src.srcConfig,Shpguest
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.src.tgtConfig,Shrguest
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.src.table.format,org.apache.phoenix.spark
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.src.zkurl,q-lab-hdp-ada1.virginvoyages.qa.dev:2181/hbase-secure:nbx.service@VIRGINVOYAGES.QA.DEV:/home/nbx.service/nbx.keytab
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.voyageOperations.table,SHIP.HBTB_NBX_SHIPTOSHORE_SYNC_VOYAGEOPS
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.src.table.type,KAFKA
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.oper.metadata.table.mode,overwrite
Shpguest,Shrguest,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpguest_shrguest,spark.oper.metadata.table,SHIP.HBTB_NBX_SHIPTOSHORE_SYNC_VOYAGEOPS
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.sslkafkabrokers,"q-lab-kfk-app1.nls.virginvoyages.com:9097,q-lab-kfk-app2.nls.virginvoyages.com:9097,q-lab-kfk-app3.nls.virginvoyages.com:9097"
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.kafkabrokers,"q-lab-kfk-app1.nls.virginvoyages.com:9097,q-lab-kfk-app2.nls.virginvoyages.com:9097,q-lab-kfk-app3.nls.virginvoyages.com:9097"
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.source.topic.name,qa-ship-cruise-mxp.cruise_roll
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.seconds,20
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.consumer,spark-shiptoshore-consumer-11
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.truststore,/etc/script_keystore/kafka.server.0925.truststore.jks
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.passvalue,SetSail2020
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.ship.keystore,/etc/script_keystore/kafka.server.0925.keystore.jks
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.shore.target.topic.name,shp2shr-qa-mxp.cruise
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.shore.kafkabrokers,"10.9.100.157:9092,10.9.100.142:9092,10.9.100.37:9092"
Shpcruise,Shrcruise,SCM2016N,QA,/data/apps/nbx/Ship-to-shore/config/Shpcruise_Shrruise,spark.shore.consumer,spark-shoretoship-consumer-final_data-test-12344-11
