Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.kafka.topic,shp2shr-dev-hbtb-nbx-sailor-affinity-fingerprint 
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.kafkabrokers,"10.9.100.142:9092,10.9.100.37:9092"
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.truststore,/etc/script_keystore/dxp.kafka.client.truststore.jks
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.keystore,/etc/script_keystore/dxp.kafka.client.keystore.jks
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.passvalue,SetS@!l2o2o
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.seconds,10
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.consumer,spark-consumer-902909
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.src.personOffSet,earliest
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.personcreated.offsettable,HBTB_NBX_KAFKA_STREAMING_OFFSET  
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.target.table.schema,"SEAWAREID BIGINT,AFFINITIES varchar,VAL DOUBLE,ACXIOMFLAG varchar,DATEMODIFIED timestamp"
SrcNBXSailorAffinity,TgtNBXSailorAffinity,SC1912065NCM,QA,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcNBXSailorAffinity_TgtNBXSailorAffinity,spark.target.table,HBTB_NBX_SAILOR_AFFINITY_FINGERPRINT
