Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.src.config.id,SrcCruise
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.voyage.id,SC2002269NCR
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.tgt.env,Qa
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.target.config.id,TgtVoyage
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.parent.id,SrcShrCr-TgtShrCr-SC2002269NCR
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.target.ops.table.format,org.apache.phoenix.spark
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.target.ops.table.mode,overwrite
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.target.enablerops_table,HBTB_INGESTION_METADATA 
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.target.zkurl,10.4.100.154:2181/hbase-unsecure
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.table.type,dim
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.redshift.url,jdbc:redshift://10.4.0.203:5439/qanbx
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.redshift.username,talenduser
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.redshift.password,Talenduser@123
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.source.sql,"select cruise.batchtime,cruise.part_date,cruise.voyageid as voyage_id,  cruise.number as voyage_number, cruise.guid as  voyage_guid,    cruise.description as voyage_description,       cruise.startdate as voyage_start_date,   cruise.enddate as voyage_end_date,datediff( to_date(cruise.enddate),to_date(cruise.startdate)) as  voyage_length,cruise.cruisestatus as voyage_status, cruise.shipcode as ship_guid,    cruise.shipcode as ship_code,   cruise.orgunit   as ship_name,cnt.isSeaDay ,  case when date(current_date()) between Cast(split( cruise.startdate    ,'T')[0] as date) and  Cast(split(cruise.enddate    ,'T')[0] as date)  then 'Y' else 'N' end as active_status  from  shipdw.hvtb_parse_mxp_shore_cruise   cruise   Left JOIN  (Select count(*) as isSeaDay, voyageid from  (select itinerary_id,itinerary_isseaday,voyageid, ROW_NUMBER() OVER(PARTITION BY cruiseid,  debarkdate,  debarkportcode,  embarkdate,  embarkportcode,  isactive,  isdeleted,  lastchanged,  modificationtime,  namekey,  number,  orgunitid,  shipcode,  shipid,  itinerary_arrivaltime,  itinerary_createdbyuser,  itinerary_creationtime,  itinerary_departuretime,  itinerary_gangwayopeningtime,  itinerary_gangwayclosingtime,  itinerary_id,  itinerary_isdeleted,  itinerary_isseaday,  itinerary_itineraryday,  itinerary_lastchanged,  itinerary_modificationtime,  itinerary_portcode,  itinerary_voyageitineraryid,  voyageid order by batchtime desc) as rn from  shipdw.hvtb_parse_mxp_shore_itinerary)grouped where grouped.itinerary_isseaday=true and grouped.rn=1 group by voyageid) cnt  on(cruise.voyageid=cnt.voyageid)"
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.source.columns,"voyage_id, voyage_number,voyage_guid,voyage_description, voyage_start_date, voyage_end_date, voyage_length, voyage_status, ship_guid,ship_code, ship_name,isSeaDay,actual_capacity_days,booked_capacity_days,actual_sailor_days,built_capacity_days,sailed_cabin_occupancy_pct,active_status"
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.pond.allColumns,"voyage_skey as pond_voyage_skey,voyage_id as pond_voyage_id , voyage_number as pond_voyage_number , voyage_guid as pond_voyage_guid , voyage_description as pond_voyage_description , voyage_start_date as pond_voyage_start_date , voyage_end_date as pond_voyage_end_date , voyage_length as pond_voyage_length , voyage_status as pond_voyage_status , ship_guid as pond_ship_guid , ship_code as pond_ship_code , ship_name as pond_ship_name , isSeaDay as pond_isSeaDay , actual_capacity_days as pond_actual_capacity_days , booked_capacity_days as pond_booked_capacity_days , actual_sailor_days as pond_actual_sailor_days , built_capacity_days as pond_built_capacity_days , sailed_cabin_occupancy_pct as pond_sailed_cabin_occupancy_pct ,active_status as pond_active_status, load_dt as pond_load_dt , upd_dt as pond_upd_dt , primaryhash as pond_primaryhash , md5_hash as pond_md5_hash"
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.surrogate_key.column,voyage_skey
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.pond.database,shipdw
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.pond.table,hvtb_mart_dim_voyage
SrcCruise,TgtVoyage,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Dim/config/SrcCruise_TgtVoyage,spark.target.schema,shipdw
