Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.kafkabrokers,"10.9.100.157:9092,10.9.100.142:9092,10.9.100.37:9092 "
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.truststore,/etc/script_keystore/dxp.kafka.client.truststore.jks
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.keystore,/etc/script_keystore/dxp.kafka.client.keystore.jks
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.passvalue,Sailing2020
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.debug.option,TRUE
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.mpx.consumer,spark-consumer-100
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.src.kafkatopic,qa-ship-cruise-mxp.cruise_roll
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.src.personOffSet,earliest
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.src.config.id,SrcMXPCruise
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.voyage.id,SC2002269NCR
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.tgt.env,Qa
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.config.id,TgtMXPCruise
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.location,s3://vv-qa-emr-cluster/data/landing/hvtb_lnd_mxp_ship_cruise_mxp_cruise_roll
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.hive.table,shipdw.hvtb_lnd_mxp_ship_cruise_mxp_cruise_roll
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.table.format,org.apache.phoenix.spark
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.offset.mode,overwrite 
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.offset.table,HBTB_STREAMING_INGESTION_OFFSET
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.ops.table.format,org.apache.phoenix.spark
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.ops.table.mode,overwrite
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.enablerops_table,HBTB_INGESTION_METADATA 
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.target.zkurl,10.4.100.154:2181/hbase-unsecure
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.streaming.kafka.maxRatePerPartition,50
SrcMXPCruise,TgtMXPCruise,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcCru_TgtCru,spark.kafka.zookeeper,10.9.100.157:2181
SrcMXPIti,TgtMXPIti,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcMXPIti_TgtMXPIti,spark.kafkabrokers,"10.9.100.157:9092,10.9.100.142:9092,10.9.100.37:9092 "
SrcMXPIti,TgtMXPIti,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcMXPIti_TgtMXPIti,spark.debug.option,TRUE
SrcMXPIti,TgtMXPIti,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcMXPIti_TgtMXPIti,spark.mpx.consumer,spark-consumer-100
SrcMXPIti,TgtMXPIti,SC2002269NCR,Qa,/data/apps/talend/shared/scripts/nbx/Ship-to-shore/config/SrcMXPIti_TgtMXPIti,spark.src.kafkatopic,qa-ship-itinerary-mxp.itinerary
