,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
82,marketindicespopulationdemographicsage_total_percentage18to64,0.0014029976848282193,11.874884393299482,-0.00017651094579559072,0.0006198401392303028,0.00017651094579559072,0.0006198401392303028,0.0,0.0
49,spending_categoryspend_novelty,0.0014430884749283405,13.848016423474489,-4.3741861630566504e-05,0.015905444874507856,0.00033359603484203114,0.030059932115183395,0.0,0.03250500756552127
98,causesandvolunteer_donation,0.0015512879590304774,0.1937916729848357,0.0,0.0,0.0,0.0,0.0,0.0
10,creatures_of_comfort_acxiom,0.0016030612834381543,0.13114897934987615,0.0,0.0,0.0,0.0,0.0,0.0
7,contest_acxiom,0.0017249453769443536,0.21889017735502153,0.0,0.0,0.0,0.0,0.0,0.0
21,reading_acxiom,0.0019004464566824521,0.17533222339081675,0.0,0.0,0.0,0.0,0.0,0.0
80,marketindicespopulationdemographicsage_total_averageage,0.0019388051174675312,7.49555960619203,0.00028557909902311723,-0.0006925098796087259,0.00028557909902311723,0.0006925098796087259,0.0,0.0
2,aviation_acxiom,0.00221533705013962,0.06752004240767955,0.0,0.0,0.0,0.0,0.0,0.0
62,spending_totalonlineorder_dollarsunder50,0.0023913331939615723,2.6043417733921053,0.0005771241296748722,-0.004583475809335643,0.0005771241296748722,0.004583475809335643,0.0,0.0
15,grandchildren_acxiom,0.00240411427775537,0.12403469034972996,0.0,0.0,0.0,0.0,0.0,0.0
22,sewing_acxiom,0.002453818591789297,0.16439681775204107,0.0,0.0,0.0,0.0,0.0,0.0
92,marketindicespopulationdemographicsage_household_underage18_percentage5,0.0024993717460484706,2.1231298905376925,-0.0002933005225108249,0.0003311757723804742,0.00036292080804362683,0.0004884580626096205,0.0,0.0
34,household_basicdemographics_numberofpeople,0.002537151036029066,0.8414904951477659,0.0005409692930009899,-0.0007157038768575947,0.0012845442201037851,0.002995961281919697,0.0,0.0
38,spending_categoryspend_books,0.002619482242151893,159.95443701458785,-0.0003301075041167679,0.00312068505340955,0.0004619174763748847,0.004345220419520406,0.0,0.0
9,crafts_acxiom,0.0029095242043567253,0.24982731207068726,0.0,0.0,0.0,0.0,0.0,0.0
99,shoppingandpurchasechannel_mailorderdonor,0.003064529928010163,0.06117920507254882,0.0,0.0,0.0,0.0,0.0,0.0
87,marketindicespopulationdemographicsage_white_percentunderage18,0.0030653430258235055,4.842199733063988,0.0011124024744295796,-0.0009486939972906034,0.0011124024744295796,0.0009486939972906034,0.0,0.0
45,spending_categoryspend_garden,0.003076600968251631,21.333452810023037,-0.000601537098386569,0.0002566119095893377,0.0006051676012577775,0.0003104432853734598,0.0,0.0
17,motorcycleracing_acxiom,0.0031939220118520004,0.10245736610892399,0.0,0.0,0.0,0.0,0.0,0.0
31,household_basicdemographics_generations,0.0032482672314808904,0.44022665275744916,0.0,0.0,0.0,0.0,0.0,0.0
93,marketindicespopulationdemographicsage_household_underage18_percentage6to8,0.003413174001103929,4.256040802081749,0.002842933090074836,-0.0020573446101292544,0.004975962953294071,0.003007182196851483,0.0,0.0
6,conservative_acxiom,0.0035439917525048855,0.06117920507254882,0.0,0.0,0.0,0.0,0.0,0.0
65,marketindicespopulationdemographicsage_age18plus_averageage,0.0035684121401597236,8.653314881870681,-0.0007754348368867736,0.0007158703550516673,0.0007754348368867736,0.0007158703550516673,0.0,0.0
14,football_acxiom,0.0036382510887694288,0.18659042527970943,0.0,0.0,0.0,0.0,0.0,0.0
40,spending_categoryspend_collectibles,0.0036412017551744084,274.05967895129874,-0.00023519247181244933,0.004924478751868669,0.00023519247181244933,0.004924478751868669,0.0,0.0
70,marketindicespopulationdemographicsage_age18plus_percentage55to64,0.003736636370296631,4.105359391005719,-0.0007793041140635385,0.0023867033292529253,0.0007793041140635385,0.002411227302747043,0.0,0.0
79,marketindicespopulationdemographicsage_agehispanic_percentunderage18,0.003934208184688948,9.057118027346537,-0.002384968005390161,0.0019737160244583875,0.0039349929317038365,0.003811657340072209,0.0,0.0
13,financial_newsletter_acxiom,0.004092741352280095,0.2394704956542601,0.0,0.0,0.0,0.0,0.0,0.0
97,household_basicdemographics_singleparent,0.004153828441981584,0.16725532154711575,0.0,0.0,0.0,0.0,0.0,0.0
39,spending_categoryspend_childrensproducts,0.00416427548229573,95.09498669055564,-0.0007869683203120089,0.004132594985252045,0.0010065273020043633,0.004818231145412121,0.0,0.0
32,household_basicdemographics_lengthofresidence,0.004219377186385762,2.8487838887521346,0.00013219599330421247,-0.00022329697005900884,0.0001989843390875712,0.00023632944668770003,0.0,0.0
19,organic_acxiom,0.004268805083875355,0.10613701400273655,0.0,0.0,0.0,0.0,0.0,0.0
37,spending_categoryspend_apparel,0.004330663109236542,430.53000507409513,-0.00010760056934250419,0.0002670839282424133,0.00010760056934250419,0.0002670839282424133,0.0,0.0
51,spending_categoryspend_specialtygifts,0.004350842699451553,285.34564648101497,0.0007891142401802221,-0.04683429368415364,0.0008309583600484534,0.04715176266587153,0.0,0.05091019428049519
78,marketindicespopulationdemographicsage_agehispanic_percentage65plus,0.004434074460415729,5.230037918563404,-0.001308714110557848,0.003100820872038939,0.00152049749842283,0.003218321693200285,0.0,0.0
68,marketindicespopulationdemographicsage_age18plus_percentage25to34,0.004688277111694522,5.974103550267508,-0.0014615471108846171,0.0006422973261394552,0.0014615471108846171,0.0006422973261394552,0.0,0.0
3,avid_music_listener_acxiom,0.004954439716625348,0.23276512174120179,0.0,0.0,0.0,0.0,0.0,0.0
18,muslim_acxiom,0.00498353337298696,0.05404745525600052,0.0,0.0,0.0,0.0,0.0,0.0
28,person_basicdemographics_lengthofresidence,0.0051177244792443176,2.8102295843644356,0.0009021477265395071,-0.0002229392552356435,0.0020417659409890376,0.001533553420866757,0.0,0.0
88,marketindicespopulationdemographicsage_household_underage18_percentage12to14,0.005270463934010545,4.229826870484558,0.0006773100045556358,-0.0010511172960305192,0.0008950845448404178,0.0013964917155279816,0.0,0.0
42,spending_categoryspend_craftshobbies,0.00538418602733017,5.762536156477585,0.0,0.0,0.0,0.0,0.0,0.0
16,highbrow_acxiom,0.005651476703989567,0.1377673334191171,0.0,0.0,0.0,0.0,0.0,0.0
24,sports_memorabilia_acxiom,0.005671873301431207,0.14275147850261397,0.0,0.0,0.0,0.0,0.0,0.0
11,eastern_orthodox_acxiom,0.0057108272751694444,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_retailrecentpurchases_retailactivitydate,0.005876271959633775,5020438.027033255,0.003708337766033314,-0.0036626877430782313,0.005172898762923307,0.004125546752024429,0.0,0.0
0,alcohol_wine_acxiom,0.005929763188871776,0.1937916729848357,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_offlinedollars,0.00606166663609877,1212.1667655188057,-0.0005374152313720861,0.0021055665322891833,0.0005374152313720861,0.0021055665322891833,0.0,0.0
50,spending_categoryspend_specialtyfood,0.006166910241003756,31.30853374910149,-0.00038391710242515126,0.0002251051092720063,0.00038391710242515126,0.0002251051092720063,0.0,0.0
26,travel_acxiom,0.006171728397282452,0.2364864864864865,0.0,0.0,0.0,0.0,0.0,0.0
77,marketindicespopulationdemographicsage_agehispanic_percentage18to64,0.006238142034172584,13.297561847399628,-0.0006110641842075385,0.002013562400077677,0.0008674702841051302,0.0030598649882661736,0.0,0.0
89,marketindicespopulationdemographicsage_household_underage18_percentage15to17,0.006501451347174285,4.433820694421804,-0.00021062234828080016,-0.0001716280003820377,0.0010219363165632693,0.000992674400161735,0.0,0.0
63,spending_weekssincefirstonlineorder,0.0066340391903978845,65.66581455414352,0.0002028193955231258,-0.0013044821267928425,0.0005308664284343718,0.001530303753093031,0.0,0.0
74,marketindicespopulationdemographicsage_ageblack_percentage18to64,0.006653982358211718,16.46403178317193,0.0,0.0,0.0,0.0,0.0,0.0
20,pet_owner_acxiom,0.006739238810510547,0.2433136159463627,0.0,0.0,0.0,0.0,0.0,0.0
4,beauty_cosmetics_acxiom,0.007079324583111785,0.2413930549265328,0.0,0.0,0.0,0.0,0.0,0.0
71,marketindicespopulationdemographicsage_age18plus_percentage65to74,0.007187375509399645,3.6686572096943744,-0.0019401733544366475,0.0013885560635398437,0.0020052583086757276,0.0014463005620666289,0.0,0.0
60,spending_totalonlineorder_dollars250to500,0.007357637640279263,0.68673747057888,-0.0001144275837968653,0.0012538839859747221,0.0001144275837968653,0.0012538839859747221,0.0,0.0
