,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
0,senior_needs_acxiom,0.0,0.02901277709006363,0.0,0.0,0.0,0.0,0.0,0.0
69,spending_categoryspend_jewelry,0.0,57.53594630578031,0.0,0.0,0.0,0.0,0.0,0.0
68,spending_categoryspend_housewares,0.0,20.20220100657799,0.0,0.0,0.0,0.0,0.0,0.0
67,spending_categoryspend_homefurnishings,0.0,190.2005385761352,0.0,0.0,0.0,0.0,0.0,0.0
66,spending_categoryspend_homecare,0.0,50.617190399161764,0.0,0.0,0.0,0.0,0.0,0.0
65,spending_categoryspend_holidayitems,0.0,48.726800700775065,0.0,0.0,0.0,0.0,0.0,0.0
64,spending_categoryspend_health,0.0,114.60888149250823,0.0,0.0,0.0,0.0,0.0,0.0
63,spending_categoryspend_gifts,0.0,28.452393913051427,0.0,0.0,0.0,0.0,0.0,0.0
62,spending_categoryspend_generalmerchandise,0.0,8.908848321210549,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_categoryspend_garden,0.0,21.333452810023037,0.0,0.0,0.0,0.0,0.0,0.0
70,spending_categoryspend_linens,0.0,52.79905063424058,0.0,0.0,0.0,0.0,0.0,0.0
60,spending_categoryspend_furniture,0.0,963.4528136782358,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_categoryspend_electronics,0.0,33.41958860263588,0.0,0.0,0.0,0.0,0.0,0.0
57,spending_categoryspend_craftshobbies,0.0,5.762536156477585,0.0,0.0,0.0,0.0,0.0,0.0
56,spending_categoryspend_computinghomeoffice,0.0,14.69086524379519,0.0,0.0,0.0,0.0,0.0,0.0
55,spending_categoryspend_collectibles,0.0,274.05967895129874,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_childrensproducts,0.0,95.09498669055564,0.0,0.0,0.0,0.0,0.0,0.0
53,spending_categoryspend_books,0.0,159.95443701458785,0.0,0.0,0.0,0.0,0.0,0.0
52,spending_categoryspend_beauty,0.0,77.61694193171411,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_automotive,0.0,5.860462113054896,0.0,0.0,0.0,0.0,0.0,0.0
50,spending_categoryspend_artsandantiques,0.0,43.85234538985726,0.0,0.0,0.0,0.0,0.0,0.0
59,spending_categoryspend_foodandbeverage,0.0,384.7997268301206,0.0,0.0,0.0,0.0,0.0,0.0
71,spending_categoryspend_music,0.0,0.4154306600492852,0.0,0.0,0.0,0.0,0.0,0.0
72,spending_categoryspend_novelty,0.0,13.848016423474489,0.0,0.0,0.0,0.0,0.0,0.0
73,spending_categoryspend_other,0.0,259.94641410228627,0.0,0.0,0.0,0.0,0.0,0.0
97,household_basicdemographics_newlywed,0.0,0.05008096986612701,0.0,0.0,0.0,0.0,0.0,0.0
96,household_basicdemographics_newmover,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0
95,household_basicdemographics_childrenpresent,0.0,0.2491768772241321,0.0,0.0,0.0,0.0,0.0,0.0
94,household_basicdemographics_childnearhsgraduation,0.0,0.06443321325256977,0.0,0.0,0.0,0.0,0.0,0.0
93,household_basicdemographics_africanamericanprofessionals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,person_basicdemographics_singleparent,0.0,0.16725532154711575,0.0,0.0,0.0,0.0,0.0,0.0
91,person_basicdemographics_enteringadulthood,0.0,0.057729755035929274,0.0,0.0,0.0,0.0,0.0,0.0
90,person_basicdemographics_deceased,0.0,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
89,marketindicespopulationdemographicsage_household_underage18_percentunderage3,0.0,5.0236884074836645,0.0,0.0,0.0,0.0,0.0,0.0
88,marketindicespopulationdemographicsage_household_underage18_percentage9to11,0.0,4.056476964598347,0.0,0.0,0.0,0.0,0.0,0.0
84,spending_lastonlinepurchasedate,0.0,4412731.471070433,0.0,0.0,0.0,0.0,0.0,0.0
83,spending_firstonlinepurchasedate,0.0,4409357.284639206,0.0,0.0,0.0,0.0,0.0,0.0
82,spending_categoryspend_videosanddvds,0.0,0.24639011718533552,0.0,0.0,0.0,0.0,0.0,0.0
81,spending_categoryspend_travel,0.0,92.66739210454949,0.0,0.0,0.0,0.0,0.0,0.0
80,spending_categoryspend_stationery,0.0,76.53798385732694,0.0,0.0,0.0,0.0,0.0,0.0
79,spending_categoryspend_sportsandleisure,0.0,193.06103009365316,0.0,0.0,0.0,0.0,0.0,0.0
78,spending_categoryspend_specialtygifts,0.0,285.34564648101497,0.0,0.0,0.0,0.0,0.0,0.0
77,spending_categoryspend_specialtyfood,0.0,31.30853374910149,0.0,0.0,0.0,0.0,0.0,0.0
76,spending_categoryspend_photoandvideo,0.0,6.739493518778311,0.0,0.0,0.0,0.0,0.0,0.0
75,spending_categoryspend_pets,0.0,52.93722151536264,0.0,0.0,0.0,0.0,0.0,0.0
74,spending_categoryspend_personalcare,0.0,7.0507248457213985,0.0,0.0,0.0,0.0,0.0,0.0
98,household_basicdemographics_probableteendriver_reacheddrivingage,0.0,0.10966728269006375,0.0,0.0,0.0,0.0,0.0,0.0
48,spending_averagedollaramountperpurchase,0.0,1354.360821691552,0.0,0.0,0.0,0.0,0.0,0.0
49,spending_categoryspend_apparel,0.0,430.53000507409513,0.0,0.0,0.0,0.0,0.0,0.0
46,spending_averagedaysbetweenonlineorders,0.0,87.395879235576,0.0,0.0,0.0,0.0,0.0,0.0
20,theater_acxiom,0.0,0.17533222339081675,0.0,0.0,0.0,0.0,0.0,0.0
19,tennis_acxiom,0.0,0.10791988999739083,0.0,0.0,0.0,0.0,0.0,0.0
18,telecommunications_acxiom,0.0,0.09248600051012003,0.0,0.0,0.0,0.0,0.0,0.0
17,tech_to_live_acxiom,0.0,0.07597596670286831,0.0,0.0,0.0,0.0,0.0,0.0
16,tech_frontiersmen_acxiom,0.0,0.0903360943048712,0.0,0.0,0.0,0.0,0.0,0.0
15,sweepstakes_acxiom,0.0,0.21889017735502153,0.0,0.0,0.0,0.0,0.0,0.0
14,strange_and_unusual_acxiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,stationary_acxiom,0.0,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
12,stamps_acxiom,0.0,0.12836726481056304,0.0,0.0,0.0,0.0,0.0,0.0
22,travel_acxiom,0.0,0.2364864864864865,0.0,0.0,0.0,0.0,0.0,0.0
11,sporty_living_acxiom,0.0,0.12976832460103255,0.0,0.0,0.0,0.0,0.0,0.0
9,sports_and_leisure_acxiom,0.0,0.24389780314006976,0.0,0.0,0.0,0.0,0.0,0.0
8,sports_acxiom,0.0,0.23437614134126772,0.0,0.0,0.0,0.0,0.0,0.0
7,soccer_acxiom,0.0,0.057729755035929274,0.0,0.0,0.0,0.0,0.0,0.0
6,snow_skiing_acxiom,0.0,0.13517471970908432,0.0,0.0,0.0,0.0,0.0,0.0
5,smoking_tobacco_acxiom,0.0,0.10245736610892399,0.0,0.0,0.0,0.0,0.0,0.0
4,sikh_acxiom,0.0,0.020532509765444625,0.0,0.0,0.0,0.0,0.0,0.0
3,shooting_acxiom,0.0,0.21794959482798534,0.0,0.0,0.0,0.0,0.0,0.0
2,shinto_acxiom,0.0,0.020532509765444625,0.0,0.0,0.0,0.0,0.0,0.0
1,sewing_acxiom,0.0,0.16439681775204107,0.0,0.0,0.0,0.0,0.0,0.0
10,sports_memorabilia_acxiom,0.0,0.14275147850261397,0.0,0.0,0.0,0.0,0.0,0.0
23,tv_sports_acxiom,0.0,0.13647979646435238,0.0,0.0,0.0,0.0,0.0,0.0
21,toys_acxiom,0.0,0.14275147850261397,0.0,0.0,0.0,0.0,0.0,0.0
25,upscale_living_acxiom,0.0,0.16725532154711575,0.0,0.0,0.0,0.0,0.0,0.0
45,household_basicdemographics_numberofpeople,0.0,0.8414904951477659,0.0,0.0,0.0,0.0,0.0,0.0
44,household_basicdemographics_numberofchildren,0.0,0.41599949248569573,0.0,0.0,0.0,0.0,0.0,0.0
43,household_basicdemographics_numberofadults,0.0,0.6317815972858829,0.0,0.0,0.0,0.0,0.0,0.0
42,household_basicdemographics_lengthofresidence,0.0,2.8487838887521346,0.0,0.0,0.0,0.0,0.0,0.0
41,household_basicdemographics_generations,0.0,0.44022665275744916,0.0,0.0,0.0,0.0,0.0,0.0
40,household_basicdemographics_estimatedincomemax,0.0,21001.94836178424,0.0,0.0,0.0,0.0,0.0,0.0
39,household_basicdemographics_estimatedincomemin,0.0,19726.619651872817,0.0,0.0,0.0,0.0,0.0,0.0
38,person_basicdemographics_lengthofresidence,0.0,2.8102295843644356,0.0,0.0,0.0,0.0,0.0,0.0
37,person_basicdemographics_age,0.0,7.636496642240254,0.0,0.0,0.0,0.0,0.0,0.0
36,yoga_acxiom,0.0,0.020532509765444625,0.0,0.0,0.0,0.0,0.0,0.0
