,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
98,causesandvolunteer_environmentalissues,0.0005201477389014679,0.17533222339081675,0.0,0.0,0.0,0.0,0.0,0.0
16,financial_newsletter_acxiom,0.0005275343593281268,0.2394704956542601,0.0,0.0,0.0,0.0,0.0,0.0
13,domestic_travel_acxiom,0.0006443583016409673,0.24548516384574254,0.0,0.0,0.0,0.0,0.0,0.0
5,cable_tv_acxiom,0.0006674005799961251,0.18808308108112767,0.0,0.0,0.0,0.0,0.0,0.0
23,motorcycling_acxiom,0.0007066399737660429,0.11471261272847014,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_homecare,0.0007970475376612781,50.617190399161764,-0.00026225087113489404,0.0005636987916884173,0.00028997934860010196,0.0009241859224065727,0.0,0.0
21,home_improvement_acxiom,0.0008065039664595903,0.1916987870207203,0.0,0.0,0.0,0.0,0.0,0.0
63,spending_totalonlineorder_dollars250to500,0.0008282633732787829,0.68673747057888,0.000181777771716059,-0.0006967123025292159,0.00018178538481681498,0.0006967920569468294,0.0,0.0
94,household_basicdemographics_childnearhsgraduation,0.0008383181694096533,0.06443321325256977,0.0,0.0,0.0,0.0,0.0,0.0
71,marketindicespopulationdemographicsage_age18plus_percentage18to24,0.0008836482069325475,3.919929025809645,0.00022988259329455958,-0.00022788362394960833,0.00022988259329455958,0.00022788362394960833,0.0,0.0
0,accessories_acxiom,0.0008863612315930944,0.05404745525600052,0.0,0.0,0.0,0.0,0.0,0.0
68,etechdemographics_assimilationindex,0.0009053929802476963,0.41659665835040216,0.0,0.0,0.0,0.0,0.0,0.0
59,spending_onlinedollars,0.0009169068447939295,10428.394165211546,0.00276621039401659,-0.004728270575236276,0.0028066505280311136,0.00513026351237668,0.0,0.001584539246586786
22,house_plants_acxiom,0.0009633133643898859,0.10431683538972414,0.0,0.0,0.0,0.0,0.0,0.0
19,hockey_acxiom,0.0009817931383791618,0.11138086212692612,0.0,0.0,0.0,0.0,0.0,0.0
36,household_basicdemographics_numberofchildren,0.0010461132462546482,0.41599949248569573,0.0,0.0,0.0,0.0,0.0,0.0
8,cosmetics_acxiom,0.0011396787895077065,0.13647979646435238,0.0,0.0,0.0,0.0,0.0,0.0
37,spending_averagedaysbetweenonlineorders,0.0012306057056944333,87.395879235576,0.00010816924304384868,-0.0005920432970573488,0.00010816924304384868,0.0005920432970573488,0.0,0.0
43,spending_categoryspend_books,0.0013322057276848524,159.95443701458785,-0.00024348406624976457,-0.0018017975361526311,0.00048040744569470653,0.002287373177294829,0.0,0.0008319679653679708
25,scuba_diving_acxiom,0.0013364339209960634,0.057729755035929274,0.0,0.0,0.0,0.0,0.0,0.0
4,budget_watchers_acxiom,0.0014349380472939049,0.08585003891603422,0.0,0.0,0.0,0.0,0.0,0.0
17,gifts_acxiom,0.0014519796852177518,0.1873401436893483,0.0,0.0,0.0,0.0,0.0,0.0
27,sports_acxiom,0.0017082553735886035,0.23437614134126772,0.0,0.0,0.0,0.0,0.0,0.0
89,marketindicespopulationdemographicsage_household_underage18_percentage3to5,0.001728411379312321,4.816431436101895,0.0007126503299624119,-0.000593039085243146,0.0007126503299624119,0.000593039085243146,0.0,0.0
29,tech_frontiersmen_acxiom,0.0017796467417998299,0.0903360943048712,0.0,0.0,0.0,0.0,0.0,0.0
92,marketindicespopulationdemographicsage_household_underage18_percentage9to11,0.0017865412610718612,4.056476964598347,0.0005279692055761398,-0.00040073273345302027,0.0005279692055761398,0.00040073273345302027,0.0,0.0
97,household_basicdemographics_youngadult,0.0022182460485944424,0.17446961261723457,0.0,0.0,0.0,0.0,0.0,0.0
6,coins_acxiom,0.002396810651544628,0.15418652066170335,0.0,0.0,0.0,0.0,0.0,0.0
14,exercise_acxiom,0.0025098419605361823,0.22459864983166955,0.0,0.0,0.0,0.0,0.0,0.0
30,tennis_acxiom,0.002754322210035533,0.10791988999739083,0.0,0.0,0.0,0.0,0.0,0.0
88,marketindicespopulationdemographicsage_household_underage18_percentage3to4,0.0030121739908263064,3.876012258363146,0.00026886940663145304,-0.00039579961689479356,0.0005461161652266094,0.0004939966481799437,0.0,0.0
93,marketindicespopulationdemographicsage_household_underage18_percentunderage3,0.003027433258587086,5.0236884074836645,-0.0018677573527813372,0.001120260561931431,0.0018677573527813372,0.001120260561931431,0.0,0.0
95,household_basicdemographics_newmover,0.003230028809994274,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0
45,spending_categoryspend_electronics,0.003295359437054399,33.41958860263588,0.0,0.0,0.0,0.0,0.0,0.0
32,video_games_acxiom,0.0034014166697968087,0.10791988999739084,0.0,0.0,0.0,0.0,0.0,0.0
2,audio_books_acxiom,0.003486411582647933,0.07046166761693991,0.0,0.0,0.0,0.0,0.0,0.0
82,marketindicespopulationdemographicsage_total_averageage,0.0036251716862963244,7.49555960619203,0.0014505229803916733,-0.004221372354960722,0.0028212331983939977,0.004930767877996923,0.0,0.0
15,fashion_acxiom,0.0038456942128102405,0.24942867515246242,0.0,0.0,0.0,0.0,0.0,0.0
48,spending_categoryspend_generalmerchandise,0.0038902325014301396,8.908848321210549,0.0,0.0,0.0,0.0,0.0,0.0
34,person_basicdemographics_lengthofresidence,0.0038906666167336733,2.8102295843644356,0.00011932307374676227,-0.0009586941687480062,0.00011932307374676227,0.0009586941687480062,0.0,0.0
33,weaponry_acxiom,0.004004976310679611,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
9,cruise_acxiom,0.004026181506154299,0.21032949211180244,0.0,0.0,0.0,0.0,0.0,0.0
81,marketindicespopulationdemographicsage_agehispanic_percentunderage18,0.004033750258368169,9.057118027346537,3.1883361283538893e-06,0.00019144334186342772,0.0006495477030055832,0.0003926722309994597,0.0,0.0
35,household_basicdemographics_numberofadults,0.004111438764147595,0.6317815972858829,-0.00011202000224969182,8.383717162901318e-05,0.00011202000224969182,8.383717162901318e-05,0.0,0.0
70,marketindicespopulationdemographicsage_age18plus_medianage,0.004287142161235151,8.825526925921622,0.0008972742118572762,0.002386482024590821,0.0012476129526008864,0.00317813206655771,0.0,0.0
50,spending_categoryspend_holidayitems,0.00436792184506146,48.726800700775065,-0.001112206577429878,0.0013270244088583968,0.0011452069745189865,0.0021307583707832582,0.0,0.0
58,spending_lastonlinepurchasedate,0.00459082203843505,4412731.471070433,-9.861465101452475e-05,0.0007753352534411921,0.00023062880995262968,0.0019417897678070553,0.0,0.0
77,marketindicespopulationdemographicsage_ageblack_percentage65plus,0.0046582467431055055,8.03186687942759,-0.0007569915250927402,6.832958317923377e-05,0.0011318742242591127,0.0011691927297342185,0.0,0.0
65,spending_totalonlineorder_total,0.00494105559961511,6.510968664205467,2.0726796424854425e-05,-0.0003782072350071976,2.0726796424854425e-05,0.0003782072350071976,0.0,0.0
61,spending_retailrecentpurchases_retailactivitydate,0.004981312835234424,5020438.027033255,-0.002001979461243965,0.0005841811281002895,0.0021351830169416665,0.0006249274648442572,0.0,0.0
12,dieting_acxiom,0.005013780108400765,0.045756452941153845,0.0,0.0,0.0,0.0,0.0,0.0
69,marketindicespopulationdemographicsage_age18plus_averageage,0.0052797634942238405,8.653314881870681,-0.007158708993430128,0.002719897141810158,0.008042357633297878,0.0030951314719797492,0.0020212596816278922,0.001110927653037541
3,auto_work_acxiom,0.005434901474449081,0.23437614134126772,0.0,0.0,0.0,0.0,0.0,0.0
24,reading_acxiom,0.005486206983821844,0.17533222339081675,0.0,0.0,0.0,0.0,0.0,0.0
86,marketindicespopulationdemographicsage_household_underage18_percentage12to14,0.005941473257972085,4.229826870484558,-0.0030167431349514295,0.0006159542396889046,0.0035252066877622256,0.0029181885908441704,0.00023263648640928399,0.00046444621849798303
20,home_care_acxiom,0.0059800424161638764,0.13385159010579412,0.0,0.0,0.0,0.0,0.0,0.0
99,tobacco_smokingtobacco,0.006473753255233902,0.09861161837382719,0.0,0.0,0.0,0.0,0.0,0.0
52,spending_categoryspend_homefurnishings,0.0066794388879763975,190.2005385761352,0.0010552856477791435,-0.018471730003040945,0.0018657871857031523,0.018557737568010057,0.0,0.006117298330553993
38,spending_averagedollaramountperorder,0.007097181084708891,1354.3012363648618,-0.0021203510746449646,0.008525633364584435,0.0021203510746449646,0.008525633364584435,0.0,0.0035729331548729993
31,upscale_living_acxiom,0.007101001701773092,0.16725532154711575,0.0,0.0,0.0,0.0,0.0,0.0
42,spending_categoryspend_beauty,0.0071511345800446754,77.61694193171411,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_linens,0.007333108321580104,52.79905063424058,0.0,0.0,0.0,0.0,0.0,0.0
