,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
52,spending_categoryspend_linens,0.0,52.79905063424058,0.0,0.0,0.0,0.0,0.0,0.0
19,tennis_acxiom,0.0,0.10791988999739083,0.0,0.0,0.0,0.0,0.0,0.0
20,theater_acxiom,0.0,0.17533222339081675,0.0,0.0,0.0,0.0,0.0,0.0
21,toys_acxiom,0.0,0.14275147850261397,0.0,0.0,0.0,0.0,0.0,0.0
48,spending_categoryspend_homecare,0.0,50.617190399161764,0.0,0.0,0.0,0.0,0.0,0.0
46,spending_categoryspend_health,0.0,114.60888149250823,0.0,0.0,0.0,0.0,0.0,0.0
43,spending_categoryspend_garden,0.0,21.333452810023037,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_jewelry,0.0,57.53594630578031,0.0,0.0,0.0,0.0,0.0,0.0
25,household_basicdemographics_estimatedincomemax,0.0,21001.94836178424,0.0,0.0,0.0,0.0,0.0,0.0
27,household_basicdemographics_numberofpeople,0.0,0.8414904951477659,0.0,0.0,0.0,0.0,0.0,0.0
40,spending_categoryspend_electronics,0.0,33.41958860263588,0.0,0.0,0.0,0.0,0.0,0.0
39,spending_categoryspend_craftshobbies,0.0,5.762536156477585,0.0,0.0,0.0,0.0,0.0,0.0
37,spending_categoryspend_collectibles,0.0,274.05967895129874,0.0,0.0,0.0,0.0,0.0,0.0
31,spending_categoryspend_apparel,0.0,430.53000507409513,0.0,0.0,0.0,0.0,0.0,0.0
36,spending_categoryspend_childrensproducts,0.0,95.09498669055564,0.0,0.0,0.0,0.0,0.0,0.0
41,spending_categoryspend_foodandbeverage,0.0,384.7997268301206,0.0,0.0,0.0,0.0,0.0,0.0
33,spending_categoryspend_automotive,0.0,5.860462113054896,0.0,0.0,0.0,0.0,0.0,0.0
35,spending_categoryspend_books,0.0,159.95443701458785,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_novelty,0.0,13.848016423474489,0.0,0.0,0.0,0.0,0.0,0.0
74,spending_totalonlineorder_dollars1000plus,0.0,0.14600497742598673,0.0,0.0,0.0,0.0,0.0,0.0
71,spending_retailrecentpurchases_retailactivitydate,0.0,5020438.027033255,0.0,0.0,0.0,0.0,0.0,0.0
70,spending_retailactivitydate,0.0,5020438.027033255,0.0,0.0,0.0,0.0,0.0,0.0
53,spending_categoryspend_music,0.0,0.4154306600492852,0.0,0.0,0.0,0.0,0.0,0.0
64,spending_categoryspend_videosanddvds,0.0,0.24639011718533552,0.0,0.0,0.0,0.0,0.0,0.0
68,spending_onlinedollars,0.0,10428.394165211546,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_categoryspend_photoandvideo,0.0,6.739493518778311,0.0,0.0,0.0,0.0,0.0,0.0
57,spending_categoryspend_pets,0.0,52.93722151536264,0.0,0.0,0.0,0.0,0.0,0.0
56,spending_categoryspend_personalcare,0.0,7.0507248457213985,0.0,0.0,0.0,0.0,0.0,0.0
55,spending_categoryspend_other,0.0,259.94641410228627,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_categoryspend_sportsandleisure,0.0,193.06103009365316,0.0,0.0,0.0,0.0,0.0,0.0
8,computing_home_office_acxiom,2.4075980339419417e-06,0.08585003891603421,0.0,0.0,0.0,0.0,0.0,0.0
4,automotive_acxiom,4.7454338816796735e-06,0.18352206809958063,0.0,0.0,0.0,0.0,0.0,0.0
99,alcohol_wineinterest,6.08978059188031e-06,0.1865904252797094,0.0,0.0,0.0,0.0,0.0,0.0
81,marketindicespopulationdemographicsage_age18plus_percentage35to44,6.6790094497471404e-06,4.568154045263203,-5.972179733843346e-06,1.7428265909792195e-05,5.972179733843346e-06,1.7428265909792195e-05,0.0,0.0
96,marketindicespopulationdemographicsage_household_underage18_percentage3to5,6.976501907313268e-06,4.816431436101895,1.1642141357059087e-05,-2.8818368957605545e-06,1.1642141357059087e-05,2.8818368957605545e-06,0.0,0.0
0,aerobic_acxiom,1.0596244724153597e-05,0.17703274890175189,0.0,0.0,0.0,0.0,0.0,0.0
29,spending_averagedollaramountperorder,1.3467258182749507e-05,1354.3012363648618,1.2331334817483889e-06,-6.556316028506267e-06,1.2331334817483889e-06,6.556316028506267e-06,0.0,0.0
12,hindu_acxiom,1.5770265409583955e-05,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
82,marketindicespopulationdemographicsage_age18plus_percentage45to54,1.78987620242177e-05,4.57922583616302,1.6023903552011134e-05,-5.008270195712667e-05,1.6023903552011134e-05,5.008270195712667e-05,0.0,0.0
76,spending_totalonlineorder_dollars500to1000,1.88972650595625e-05,0.16195087586766058,0.0,0.0,0.0,0.0,0.0,0.0
