,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
49,spending_categoryspend_beauty,0.0,77.61694193171411,0.0,0.0,0.0,0.0,0.0,0.0
34,weightloss_acxiom,0.0,0.23276512174120179,0.0,0.0,0.0,0.0,0.0,0.0
35,woodworking_acxiom,0.0,0.16044407634563726,0.0,0.0,0.0,0.0,0.0,0.0
36,yoga_acxiom,0.0,0.020532509765444625,0.0,0.0,0.0,0.0,0.0,0.0
37,person_basicdemographics_age,0.0,7.636496642240254,0.0,0.0,0.0,0.0,0.0,0.0
70,spending_categoryspend_other,0.0,259.94641410228627,0.0,0.0,0.0,0.0,0.0,0.0
69,spending_categoryspend_novelty,0.0,13.848016423474489,0.0,0.0,0.0,0.0,0.0,0.0
40,household_basicdemographics_estimatedincomemax,0.0,21001.94836178424,0.0,0.0,0.0,0.0,0.0,0.0
42,household_basicdemographics_lengthofresidence,0.0,2.8487838887521346,0.0,0.0,0.0,0.0,0.0,0.0
43,household_basicdemographics_numberofadults,0.0,0.6317815972858829,0.0,0.0,0.0,0.0,0.0,0.0
44,household_basicdemographics_numberofchildren,0.0,0.41599949248569573,0.0,0.0,0.0,0.0,0.0,0.0
46,spending_categoryspend_apparel,0.0,430.53000507409513,0.0,0.0,0.0,0.0,0.0,0.0
47,spending_categoryspend_artsandantiques,0.0,43.85234538985726,0.0,0.0,0.0,0.0,0.0,0.0
48,spending_categoryspend_automotive,0.0,5.860462113054896,0.0,0.0,0.0,0.0,0.0,0.0
65,spending_categoryspend_housewares,0.0,20.20220100657799,0.0,0.0,0.0,0.0,0.0,0.0
67,spending_categoryspend_linens,0.0,52.79905063424058,0.0,0.0,0.0,0.0,0.0,0.0
52,spending_categoryspend_collectibles,0.0,274.05967895129874,0.0,0.0,0.0,0.0,0.0,0.0
53,spending_categoryspend_computinghomeoffice,0.0,14.69086524379519,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_craftshobbies,0.0,5.762536156477585,0.0,0.0,0.0,0.0,0.0,0.0
55,spending_categoryspend_electronics,0.0,33.41958860263588,0.0,0.0,0.0,0.0,0.0,0.0
56,spending_categoryspend_foodandbeverage,0.0,384.7997268301206,0.0,0.0,0.0,0.0,0.0,0.0
57,spending_categoryspend_furniture,0.0,963.4528136782358,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_categoryspend_garden,0.0,21.333452810023037,0.0,0.0,0.0,0.0,0.0,0.0
59,spending_categoryspend_generalmerchandise,0.0,8.908848321210549,0.0,0.0,0.0,0.0,0.0,0.0
60,spending_categoryspend_gifts,0.0,28.452393913051427,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_categoryspend_health,0.0,114.60888149250823,0.0,0.0,0.0,0.0,0.0,0.0
62,spending_categoryspend_holidayitems,0.0,48.726800700775065,0.0,0.0,0.0,0.0,0.0,0.0
63,spending_categoryspend_homecare,0.0,50.617190399161764,0.0,0.0,0.0,0.0,0.0,0.0
64,spending_categoryspend_homefurnishings,0.0,190.2005385761352,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_childrensproducts,0.0,95.09498669055564,0.0,0.0,0.0,0.0,0.0,0.0
32,water_sports_acxiom,0.0,0.020532509765444625,0.0,0.0,0.0,0.0,0.0,0.0
