,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
99,alcohol_wineinterest,0.0025413253082697995,0.19515618744994995,0.0,0.0,0.0,0.0,0.0,0.0
46,spending_categoryspend_jewelry,0.002571829108655534,56.34424972036709,-0.000203141062307746,0.0005620981062309857,0.000203141062307746,0.0005620981062309857,0.0,0.0
26,self_improvement_acxiom,0.002592300632690672,0.1858338437812702,0.0,0.0,0.0,0.0,0.0,0.0
83,marketindicespopulationdemographicsage_total_percentage18to64,0.0026987262162813195,11.969374683312932,4.0605790744970176e-05,-0.00025785388336256994,4.0605790744970176e-05,0.00025785388336256994,0.0,0.0
13,green_activist_acxiom,0.0027118720193093793,0.12254482565618965,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_sportsandleisure,0.002722516017517033,190.8839189263302,-0.0005779870697883152,0.04775350878778531,0.0005779870697883152,0.04775350878778531,0.0,0.0
42,spending_categoryspend_foodandbeverage,0.002777026731529163,325.9393645448578,5.649426394922953e-06,-1.2976763041208061e-05,5.649426394922953e-06,1.2976763041208061e-05,0.0,0.0
82,marketindicespopulationdemographicsage_total_medianage,0.0028379818635357493,8.178693538790258,0.0001594478138288907,-5.635733546303807e-05,0.00019783170150270904,7.158317378436005e-05,0.0,0.0
85,marketindicespopulationdemographicsage_total_percentunderage18,0.0028951076459588624,5.387457997845725,-0.002486419605111112,0.00628043558230179,0.002557322599638963,0.006542740046415704,0.0,0.0
20,organic_acxiom,0.002936735449289677,0.10613701400273655,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_videosanddvds,0.002941913720111399,0.24639011718533552,0.0,0.0,0.0,0.0,0.0,0.0
3,aviation_acxiom,0.0029574169031643172,0.06752004240767955,0.0,0.0,0.0,0.0,0.0,0.0
18,low_fat_cooking_acxiom,0.002969834456305075,0.20583170556388944,0.0,0.0,0.0,0.0,0.0,0.0
28,soccer_acxiom,0.002985021195199988,0.06117920507254882,0.0,0.0,0.0,0.0,0.0,0.0
60,spending_retailactivitydate,0.0030006578421730348,5024904.174669753,-9.875810621795714e-05,4.4169477916183675e-05,0.00012761746777695292,0.0001007273867434028,0.0,0.0
11,football_acxiom,0.0030067963831321726,0.18808308108112767,0.0,0.0,0.0,0.0,0.0,0.0
14,high_tech_living_acxiom,0.0030419224651163216,0.1761865622329587,0.0,0.0,0.0,0.0,0.0,0.0
71,marketindicespopulationdemographicsage_age18plus_percentage25to34,0.003106846731662819,5.839217900155057,0.00043716443401739486,-6.684712316662156e-05,0.0005832489191226003,0.00013640361265068068,0.0,0.0
30,weightloss_acxiom,0.0031611280252341763,0.23530108309953846,0.0,0.0,0.0,0.0,0.0,0.0
21,professional_living_acxiom,0.0031854612254236378,0.1634241435465922,0.0,0.0,0.0,0.0,0.0,0.0
17,living_in_the_now_acxiom,0.0031937046745370424,0.08585003891603421,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_retailrecentpurchases_retailactivitydate,0.0031977174429179615,5024904.174669753,5.900525380381997e-05,-3.217509770885895e-05,5.900525380381997e-05,3.217509770885895e-05,0.0,0.0
70,marketindicespopulationdemographicsage_age18plus_percentage18to24,0.003243197260223055,3.6554739988006473,1.291033118809928e-05,-2.8117152272032892e-05,1.291033118809928e-05,2.8117152272032892e-05,0.0,0.0
58,spending_onlinedollars,0.003563970832263003,7858.037929694529,0.0001787551146393945,-0.00032061131070919296,0.0001987639967463503,0.0003339745107943234,0.0,0.0001657233812180454
65,spending_weekssincefirstonlineorder,0.0035847834886880638,65.1619652390387,0.00018583679379279217,-3.253385889948008e-05,0.00018583679379279217,3.655423220944128e-05,0.0,0.0
23,rv_acxiom,0.003629794890657171,0.20465696459096627,0.0,0.0,0.0,0.0,0.0,0.0
2,appliances_acxiom,0.0036957173436440237,0.04575645294115384,0.0,0.0,0.0,0.0,0.0,0.0
35,household_basicdemographics_numberofadults,0.003699244851162901,0.6342157484605102,9.62945439944199e-06,-2.2688285691223744e-05,9.62945439944199e-06,2.2688285691223744e-05,0.0,0.0
98,household_basicdemographics_youngadultinhousehold,0.0037183484348856425,0.12403469034972997,0.0,0.0,0.0,0.0,0.0,0.0
62,spending_travelspendmin,0.003786902367713493,6.414799920869707,0.0,0.0,0.0,0.0,0.0,0.0
24,science_fiction_acxiom,0.003865336167948574,0.12550118662842372,0.0,0.0,0.0,0.0,0.0,0.0
25,scuba_diving_acxiom,0.003923290961485346,0.06117920507254882,0.0,0.0,0.0,0.0,0.0,0.0
16,jewish_acxiom,0.0040475021352059486,0.08350388485340028,0.0,0.0,0.0,0.0,0.0,0.0
5,budget_watchers_acxiom,0.004077683341607116,0.0903360943048712,0.0,0.0,0.0,0.0,0.0,0.0
93,marketindicespopulationdemographicsage_household_underage18_percentage5,0.004227607663701954,2.0482030152484283,-0.0008053251634882654,0.0006946077694899073,0.0008143278701719334,0.0007159521699413307,0.0,0.0
87,marketindicespopulationdemographicsage_white_percentage65plus,0.004318873429723537,5.071256469844,0.00039420028024248334,-0.0005461876395801622,0.00045346301365738065,0.000569456377944097,0.0,0.0
68,marketindicespopulationdemographicsage_age18plus_averageage,0.00444471097081834,8.807108804533232,-0.002898732860577003,0.013550317560229043,0.002898732860577003,0.013550317560229043,0.0,0.0
33,household_basicdemographics_generations,0.004522409785075981,0.43701384342213445,0.0,0.0,0.0,0.0,0.0,0.0
29,sports_memorabilia_acxiom,0.004632885583401455,0.14977451017723697,0.0,0.0,0.0,0.0,0.0,0.0
91,marketindicespopulationdemographicsage_household_underage18_percentage3to4,0.004897174577507773,3.4369500356922766,4.185314214367528e-06,-2.0588983514490732e-05,4.185314214367528e-06,2.0588983514490732e-05,0.0,0.0
8,cosmetics_acxiom,0.005147462858970262,0.12976832460103255,0.0,0.0,0.0,0.0,0.0,0.0
36,spending_averagedaysbetweenonlineorders,0.005179618304964678,83.10255706508141,-0.0012104310226154365,0.0021806542535624846,0.0012203681677617714,0.002210699514006248,0.0,0.0
55,spending_firstonlinepurchasedate,0.005306198202992464,4507566.440917574,8.347942087670937e-05,-0.0007212786394994046,8.347942087670937e-05,0.0007212786394994046,0.0,9.335681170150522e-05
64,spending_totalonlineorder_dollars100to250,0.005320127661662593,1.1163352174434562,-8.980655876191234e-06,2.6167631974911058e-05,1.3496841159582042e-05,3.3691905188572325e-05,0.0,0.0
86,marketindicespopulationdemographicsage_white_percentage18to64,0.005455155181265084,11.946210595393058,2.9797431171513e-05,-8.441916138872642e-05,2.9797431171513e-05,8.441916138872642e-05,0.0,0.0
27,shinto_acxiom,0.005578772125589838,0.020532509765444625,0.0,0.0,0.0,0.0,0.0,0.0
40,spending_categoryspend_beauty,0.005624826651369486,92.21549315921655,7.272447678849475e-06,-0.00014782505916190547,7.272447678849475e-06,0.00014782505916190547,0.0,0.0
69,marketindicespopulationdemographicsage_age18plus_medianage,0.0059339371787693685,8.980258256261898,-0.00022608796413156794,-7.865190425070653e-05,0.0002647440994619674,0.00010245837124690052,0.0,0.0
79,marketindicespopulationdemographicsage_agehispanic_percentage18to64,0.006192041801504408,13.408435216404637,0.0007351262106287848,-0.0007696470339143196,0.0007479781347373054,0.0008148224579598212,0.0,4.701306247550203e-05
77,marketindicespopulationdemographicsage_ageblack_percentage65plus,0.006874368622642901,8.260983485977201,4.540215743570097e-06,5.723398751268659e-06,1.0411706578987864e-05,8.98854521094274e-06,0.0,0.0
84,marketindicespopulationdemographicsage_total_percentage65plus,0.007099020741226486,5.343218547765697,7.377468550080516e-05,-6.190582852493155e-05,0.00016796361407198863,0.00010485239248177687,0.0,0.0
56,spending_lastonlinepurchasedate,0.007356985704919671,4511012.561741731,-0.0002458702674842888,0.00018461206641906484,0.000333757425796587,0.00021990152530142914,0.0,0.0
