,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
46,spending_categoryspend_generalmerchandise,0.002082208206683942,8.68353115747598,0.0,0.0,0.0,0.0,0.0,0.0
16,music_player_acxiom,0.002085792489185161,0.22376497342278232,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_linens,0.0021160727699064182,51.55847863217198,-2.0297628798502395e-05,1.965829203238445e-05,3.897346681729105e-05,2.514074551959352e-05,0.0,0.0
45,spending_categoryspend_garden,0.0021312923865815705,18.793955356543613,0.0,0.0,0.0,0.0,0.0,0.0
7,fashion_acxiom,0.0021868257752187424,0.24942867515246242,0.0,0.0,0.0,0.0,0.0,0.0
25,sports_memorabilia_acxiom,0.0021908449762920194,0.14977451017723697,0.0,0.0,0.0,0.0,0.0,0.0
86,marketindicespopulationdemographicsage_total_medianage,0.0022358959130020666,8.178693538790258,5.986998755611072e-05,-0.00018893792774521677,5.986998755611072e-05,0.00018893792774521677,0.0,0.0
64,spending_totalonlineorder_dollars250to500,0.002254497229914716,0.6717092192317123,-0.00010382124852189906,0.0003161105527709401,0.00010382124852189906,0.0003161105527709401,0.0,0.0
27,tech_to_live_acxiom,0.002313181774234342,0.07327557846872965,0.0,0.0,0.0,0.0,0.0,0.0
77,marketindicespopulationdemographicsage_age18plus_percentage75plus,0.00233200527926683,3.2074770504514536,-0.00011107493659382882,0.000370280379526064,0.00026627471770444795,0.0005668880138567774,0.0,0.0
85,marketindicespopulationdemographicsage_total_averageage,0.0023765804371034416,7.608941938309323,9.973544097530679e-05,-0.00022999529982192904,9.973544097530679e-05,0.00022999529982192904,0.0,0.0
11,home_furnishings_acxiom,0.0024484826720989447,0.20465696459096627,0.0,0.0,0.0,0.0,0.0,0.0
20,performing_arts_acxiom,0.002597010254614778,0.1761865622329587,0.0,0.0,0.0,0.0,0.0,0.0
22,sailing_acxiom,0.0027594888140032602,0.2003790663333286,0.0,0.0,0.0,0.0,0.0,0.0
9,gifts_acxiom,0.002837195447973292,0.18583384378127024,0.0,0.0,0.0,0.0,0.0,0.0
91,marketindicespopulationdemographicsage_household_underage18_percentage12to14,0.002990620188059517,4.575062505310919,-1.0843224003515306e-05,5.854194645689726e-06,1.0843224003515306e-05,5.854194645689726e-06,0.0,0.0
13,luggage_acxiom,0.0030056178714400503,0.09457951134573932,0.0,0.0,0.0,0.0,0.0,0.0
15,music_collector_acxiom,0.0031380754133751936,0.14029171303453772,0.0,0.0,0.0,0.0,0.0,0.0
99,household_basicdemographics_probableteendriver_withinoneyearofdrivingage,0.0031501703502568325,0.09248600051012004,0.0,0.0,0.0,0.0,0.0,0.0
21,reading_acxiom,0.003179352323443088,0.17703274890175189,0.0,0.0,0.0,0.0,0.0,0.0
6,cultural_acxiom,0.003844206182765456,0.05008096986612701,0.0,0.0,0.0,0.0,0.0,0.0
17,outdoor_decorating_acxiom,0.003927779527380289,0.23071504714750957,0.0,0.0,0.0,0.0,0.0,0.0
12,inspirational_acxiom,0.003950146847897395,0.2010064159546421,0.0,0.0,0.0,0.0,0.0,0.0
37,spending_averagedollaramountperorder,0.004015628174800677,1122.2572454582105,0.00019056218000732035,-0.0016306442486588512,0.00020827036478287135,0.0016306442486588512,0.0,0.0
