,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
49,spending_categoryspend_childrensproducts,0.0,87.76345424020377,0.0,0.0,0.0,0.0,0.0,0.0
31,walking_acxiom,0.0,0.1991076897656467,0.0,0.0,0.0,0.0,0.0,0.0
32,water_sports_acxiom,0.0,0.02901277709006363,0.0,0.0,0.0,0.0,0.0,0.0
33,weaponry_acxiom,0.0,0.03550312425166166,0.0,0.0,0.0,0.0,0.0,0.0
65,spending_categoryspend_linens,0.0,51.55847863217198,0.0,0.0,0.0,0.0,0.0,0.0
35,woodworking_acxiom,0.0,0.16535945694153692,0.0,0.0,0.0,0.0,0.0,0.0
36,household_basicdemographics_generations,0.0,0.43701384342213445,0.0,0.0,0.0,0.0,0.0,0.0
64,spending_categoryspend_jewelry,0.0,56.34424972036709,0.0,0.0,0.0,0.0,0.0,0.0
38,household_basicdemographics_numberofadults,0.0,0.6342157484605102,0.0,0.0,0.0,0.0,0.0,0.0
39,household_basicdemographics_numberofchildren,0.0,0.4310635732592298,0.0,0.0,0.0,0.0,0.0,0.0
63,spending_categoryspend_housewares,0.0,18.83171353150067,0.0,0.0,0.0,0.0,0.0,0.0
62,spending_categoryspend_homefurnishings,0.0,212.6057145694244,0.0,0.0,0.0,0.0,0.0,0.0
42,spending_averagedollaramountperorder,0.0,1122.2572454582105,0.0,0.0,0.0,0.0,0.0,0.0
43,spending_averagedollaramountperpurchase,0.0,1122.5324129120856,0.0,0.0,0.0,0.0,0.0,0.0
44,spending_categoryspend_apparel,0.0,449.2921968985313,0.0,0.0,0.0,0.0,0.0,0.0
45,spending_categoryspend_artsandantiques,0.0,43.7662177023475,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_categoryspend_homecare,0.0,51.142111764699926,0.0,0.0,0.0,0.0,0.0,0.0
47,spending_categoryspend_beauty,0.0,92.21549315921655,0.0,0.0,0.0,0.0,0.0,0.0
48,spending_categoryspend_books,0.0,165.56564115884666,0.0,0.0,0.0,0.0,0.0,0.0
60,spending_categoryspend_holidayitems,0.0,47.39935213112827,0.0,0.0,0.0,0.0,0.0,0.0
59,spending_categoryspend_health,0.0,111.30520467878138,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_categoryspend_gifts,0.0,28.75091265135647,0.0,0.0,0.0,0.0,0.0,0.0
52,spending_categoryspend_craftshobbies,0.0,5.762536156477586,0.0,0.0,0.0,0.0,0.0,0.0
53,spending_categoryspend_electronics,0.0,67.33591729738633,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_foodandbeverage,0.0,325.9393645448578,0.0,0.0,0.0,0.0,0.0,0.0
55,spending_categoryspend_furniture,0.0,936.1111013039016,0.0,0.0,0.0,0.0,0.0,0.0
30,videos_acxiom,0.0,0.18734014368934826,0.0,0.0,0.0,0.0,0.0,0.0
29,video_games_acxiom,0.0,0.10613701400273655,0.0,0.0,0.0,0.0,0.0,0.0
28,veteran_acxiom,0.0,0.13776733341911707,0.0,0.0,0.0,0.0,0.0,0.0
27,vegetarian_foods_acxiom,0.0,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
76,spending_categoryspend_videosanddvds,0.0,0.24639011718533552,0.0,0.0,0.0,0.0,0.0,0.0
74,spending_categoryspend_sportsandleisure,0.0,190.8839189263302,0.0,0.0,0.0,0.0,0.0,0.0
72,spending_categoryspend_specialtyfood,0.0,27.754936336656634,0.0,0.0,0.0,0.0,0.0,0.0
71,spending_categoryspend_photoandvideo,0.0,2.3294376734912707,0.0,0.0,0.0,0.0,0.0,0.0
70,spending_categoryspend_pets,0.0,52.931798174100926,0.0,0.0,0.0,0.0,0.0,0.0
69,spending_categoryspend_personalcare,0.0,7.377355000231657,0.0,0.0,0.0,0.0,0.0,0.0
68,spending_categoryspend_other,0.0,271.61224561415304,0.0,0.0,0.0,0.0,0.0,0.0
67,spending_categoryspend_novelty,0.0,13.045167676799151,0.0,0.0,0.0,0.0,0.0,0.0
66,spending_categoryspend_music,0.0,0.4154306600492851,0.0,0.0,0.0,0.0,0.0,0.0
12,stamps_acxiom,0.0,0.12976832460103255,0.0,0.0,0.0,0.0,0.0,0.0
56,spending_categoryspend_garden,0.0,18.793955356543613,0.0,0.0,0.0,0.0,0.0,0.0
14,strange_and_unusual_acxiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,stationary_acxiom,0.0,0.040960660989804526,0.0,0.0,0.0,0.0,0.0,0.0
16,tech_frontiersmen_acxiom,0.0,0.09248600051012003,0.0,0.0,0.0,0.0,0.0,0.0
17,tech_to_live_acxiom,0.0,0.07327557846872965,0.0,0.0,0.0,0.0,0.0,0.0
18,telecommunications_acxiom,0.0,0.0903360943048712,0.0,0.0,0.0,0.0,0.0,0.0
19,tennis_acxiom,0.0,0.10966728269006375,0.0,0.0,0.0,0.0,0.0,0.0
20,theater_acxiom,0.0,0.1761865622329587,0.0,0.0,0.0,0.0,0.0,0.0
21,toys_acxiom,0.0,0.1377673334191171,0.0,0.0,0.0,0.0,0.0,0.0
22,travel_acxiom,0.0,0.2340609199417402,0.0,0.0,0.0,0.0,0.0,0.0
