,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
24,travel_acxiom,0.0,0.2340609199417402,0.0,0.0,0.0,0.0,0.0,0.0
36,spending_categoryspend_collectibles,0.0,274.32375705157034,0.0,0.0,0.0,0.0,0.0,0.0
39,spending_categoryspend_electronics,0.0,67.33591729738633,0.0,0.0,0.0,0.0,0.0,0.0
51,spending_categoryspend_music,0.0,0.4154306600492851,0.0,0.0,0.0,0.0,0.0,0.0
44,spending_categoryspend_gifts,0.0,28.75091265135647,0.0,0.0,0.0,0.0,0.0,0.0
38,spending_categoryspend_craftshobbies,0.0,5.762536156477586,0.0,0.0,0.0,0.0,0.0,0.0
46,spending_categoryspend_holidayitems,0.0,47.39935213112827,0.0,0.0,0.0,0.0,0.0,0.0
47,spending_categoryspend_homecare,0.0,51.142111764699926,0.0,0.0,0.0,0.0,0.0,0.0
64,spending_totalonlineorder_dollars100to250,2.673200173889517e-07,1.1163352174434562,0.0,0.0,0.0,0.0,0.0,0.0
41,spending_categoryspend_furniture,3.1619834767923675e-07,936.1111013039016,-5.968073773775178e-08,1.8756660665114893e-07,5.968073773775178e-08,1.8756660665114893e-07,0.0,0.0
6,camping_acxiom,3.6685588024007283e-07,0.1978137186920456,0.0,0.0,0.0,0.0,0.0,0.0
2,auto_parts_acxiom,1.0340065376660037e-06,0.16439681775204107,0.0,0.0,0.0,0.0,0.0,0.0
77,marketindicespopulationdemographicsage_age18plus_percentage65to74,1.9002442410511277e-06,3.7306522434330036,0.0,0.0,0.0,0.0,0.0,0.0
28,household_basicdemographics_estimatedincomemax,2.008726724818659e-06,20658.077014445415,-3.282071072667614e-07,3.489017039086705e-07,3.282071072667614e-07,3.489017039086705e-07,0.0,0.0
5,boating_acxiom,2.504280542633908e-06,0.2003790663333286,0.0,0.0,0.0,0.0,0.0,0.0
22,sports_and_leisure_acxiom,1.9902405788198e-05,0.2444543330106555,0.0,0.0,0.0,0.0,0.0,0.0
17,natural_foods_acxiom,7.315815809381539e-05,0.18273717040539975,0.0,0.0,0.0,0.0,0.0,0.0
25,unplugged_acxiom,0.0002157251336515155,0.09457951134573933,0.0,0.0,0.0,0.0,0.0,0.0
89,marketindicespopulationdemographicsage_white_percentunderage18,0.00025097811513358556,4.842721208400482,5.203146468086487e-06,-2.0479248904254275e-05,5.203146468086487e-06,2.0479248904254275e-05,0.0,0.0
30,household_basicdemographics_numberofpeople,0.0007003963445128316,0.8443508938951558,2.8957255502374316e-06,-2.036959029661932e-07,2.8957255502374316e-06,2.036959029661932e-07,0.0,0.0
71,marketindicespopulationdemographicsage_age18plus_medianage,0.0013790230240717093,8.980258256261898,-0.00010813683282693197,0.0004870052044282748,0.00010813683282693197,0.0004870052044282748,0.0,0.0
57,spending_categoryspend_travel,0.001591566581168113,90.72822404874094,1.850448493363426e-05,-2.485788863130141e-06,1.850448493363426e-05,2.485788863130141e-06,0.0,0.0
29,household_basicdemographics_numberofchildren,0.001747340236547339,0.4310635732592298,0.0,0.0,0.0,0.0,0.0,0.0
76,marketindicespopulationdemographicsage_age18plus_percentage55to64,0.0018191881040053673,4.1825401373232,8.580937866544315e-06,-5.482873345506662e-06,8.580937866544315e-06,5.482873345506662e-06,0.0,0.0
11,hands_on_believers_acxiom,0.0018866992296388246,0.13250986687492786,0.0,0.0,0.0,0.0,0.0,0.0
16,lottery_acxiom,0.002069300847648414,0.10791988999739084,0.0,0.0,0.0,0.0,0.0,0.0
13,home_garden_acxiom,0.0020853744170270623,0.16911306410630847,0.0,0.0,0.0,0.0,0.0,0.0
10,guns_and_ammunition_acxiom,0.002106496895816067,0.06443321325256977,0.0,0.0,0.0,0.0,0.0,0.0
18,no_party_acxiom,0.002230157343925286,0.18429975266197102,0.0,0.0,0.0,0.0,0.0,0.0
14,jewelry_acxiom,0.002308702213338447,0.16725532154711575,0.0,0.0,0.0,0.0,0.0,0.0
