,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
69,marketindicespopulationdemographicsage_age18plus_medianage,1.290754646119879e-05,8.980258256261898,-2.933924987108754e-05,5.4767691684025234e-05,2.933924987108754e-05,5.4767691684025234e-05,0.0,0.0
32,shooting_acxiom,3.0508149233412737e-05,0.21601652254242532,0.0,0.0,0.0,0.0,0.0,0.0
70,marketindicespopulationdemographicsage_age18plus_percentage18to24,4.543894799515958e-05,3.6554739988006473,-9.670643665494958e-07,1.6274040271004375e-06,9.670643665494958e-07,1.6274040271004375e-06,0.0,0.0
28,pet_owner_acxiom,5.0976776494456436e-05,0.2440863765971411,0.0,0.0,0.0,0.0,0.0,0.0
55,spending_categoryspend_other,6.372141649169468e-05,271.61224561415304,4.0591291103188956e-05,-4.616247583484034e-05,4.0591291103188956e-05,4.616247583484034e-05,0.0,0.0
1,art_acxiom,0.00106107409740181,0.23175620272173947,0.0,0.0,0.0,0.0,0.0,0.0
63,spending_retailactivitydate,0.001070321180410631,5024904.174669753,0.0,0.0,0.0,0.0,0.0,0.0
30,protestant_acxiom,0.00113971601062997,0.2376179496433201,0.0,0.0,0.0,0.0,0.0,0.0
73,marketindicespopulationdemographicsage_age18plus_percentage45to54,0.0012040074188766124,4.649736182498649,4.207183252963974e-05,-2.6861928986940897e-05,4.3911081809666985e-05,2.7242870506962115e-05,0.0,0.0
85,marketindicespopulationdemographicsage_total_percentage65plus,0.001293151115653814,5.343218547765697,-9.310752817837381e-08,4.600793083142043e-06,9.310752817837381e-08,4.600793083142043e-06,0.0,0.0
29,political_acxiom,0.0015018583854190183,0.24595980943626844,0.0,0.0,0.0,0.0,0.0,0.0
71,marketindicespopulationdemographicsage_age18plus_percentage25to34,0.0016811009983699627,5.839217900155057,0.0,0.0,0.0,0.0,0.0,0.0
16,gourmet_cooking_acxiom,0.0016991015152328667,0.24953732752943644,0.0,0.0,0.0,0.0,0.0,0.0
11,cruise_acxiom,0.0017656966646373512,0.21502356613587983,0.0,0.0,0.0,0.0,0.0,0.0
0,alcohol_wine_acxiom,0.0021985421668788037,0.20285572771189447,0.0,0.0,0.0,0.0,0.0,0.0
65,spending_totalonlineorder_dollars100to250,0.0022903560479598764,1.1163352174434562,6.495610231175313e-06,-7.063240841562266e-06,6.495610231175313e-06,7.063240841562266e-06,0.0,0.0
5,catholic_acxiom,0.0027028979266249865,0.22418379013341466,0.0,0.0,0.0,0.0,0.0,0.0
6,charities_acxiom,0.002730592431257996,0.24759013593211635,0.0,0.0,0.0,0.0,0.0,0.0
39,household_basicdemographics_numberofadults,0.0031879752699717416,0.6342157484605102,-5.576288000651854e-06,3.009317123806241e-05,5.576288000651854e-06,3.009317123806241e-05,0.0,0.0
46,spending_categoryspend_childrensproducts,0.00323693648393489,87.76345424020377,-1.1767166409708105e-05,8.088439156079264e-05,1.1767166409708105e-05,8.088439156079264e-05,0.0,0.0
53,spending_categoryspend_jewelry,0.003358504130312105,56.34424972036709,2.7099898402670975e-05,2.993174571927623e-06,2.7100494848412624e-05,4.500680759675387e-06,0.0,0.0
40,household_basicdemographics_numberofchildren,0.0037588418321220663,0.4310635732592298,0.0,0.0,0.0,0.0,0.0,0.0
84,marketindicespopulationdemographicsage_total_percentage18to64,0.004178933599000806,11.969374683312932,0.0001816416720497003,-0.00012045557763484173,0.0002431201929951866,0.00016442259984256392,0.0,0.0
4,cat_owner_acxiom,0.00433282239611759,0.19649670674467992,0.0,0.0,0.0,0.0,0.0,0.0
77,marketindicespopulationdemographicsage_ageblack_percentage18to64,0.004340485895156047,16.4901301071363,-6.613096615920414e-06,1.6332107827322794e-05,6.613096615920414e-06,1.6332107827322794e-05,0.0,0.0
17,home_garden_acxiom,0.004568919059414456,0.16911306410630847,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_categoryspend_stationery,0.004585239019162351,89.44522218708174,0.0,0.0,0.0,0.0,0.0,0.0
98,household_basicdemographics_workingwoman,0.004741245375056226,0.23843161205796726,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_novelty,0.00476063848068657,13.045167676799151,7.440614235125176e-06,-1.7043422701855488e-05,7.440614235125176e-06,1.7043422701855488e-05,0.0,0.0
50,spending_categoryspend_homecare,0.004810809232407977,51.142111764699926,-3.8227059146732895e-06,1.3011147980861978e-05,3.8227059146732895e-06,1.3011147980861978e-05,0.0,0.0
87,marketindicespopulationdemographicsage_white_percentage18to64,0.004924905823808906,11.946210595393058,0.00032721068465299644,-0.0018382747002754032,0.00032724548509768266,0.0018382876361342343,0.0,0.0
45,spending_categoryspend_beauty,0.005012141632152396,92.21549315921655,0.0,0.0,0.0,0.0,0.0,0.0
25,membership_clubs_acxiom,0.0050630964259803036,0.19649670674467992,0.0,0.0,0.0,0.0,0.0,0.0
75,marketindicespopulationdemographicsage_age25plus_averageage,0.005204039264855989,9.284892161583501,-1.1857664491091286e-05,5.6880717172507664e-05,1.1898400947054853e-05,5.6893638085582594e-05,0.0,0.0
43,spending_averagedollaramountperpurchase,0.005371157232442291,1122.5324129120856,8.91365550494651e-05,-8.139950827728617e-05,8.915872206283882e-05,8.140543056817855e-05,0.0,0.0
10,crafts_acxiom,0.005443183262826023,0.24979447358937418,0.0,0.0,0.0,0.0,0.0,0.0
42,spending_averagedollaramountperorder,0.0055595527670961094,1122.2572454582105,-0.00058093612615954,-0.0014245740111891688,0.0006419413586866461,0.003382306839921494,0.0,0.0023705004539126724
22,lifestyles_acxiom,0.005768971181962939,0.2108697482365108,0.0,0.0,0.0,0.0,0.0,0.0
35,person_basicdemographics_lengthofresidence,0.005787097488596355,2.8302746706756614,-6.0814077043161425e-09,7.503874322212523e-09,6.0814077043161425e-09,7.503874322212523e-09,0.0,0.0
99,shoppingandpurchasechannel_mailorderdonor,0.00584594421023999,0.06752004240767955,0.0,0.0,0.0,0.0,0.0,0.0
38,household_basicdemographics_generations,0.005849481219621118,0.43701384342213445,0.0,0.0,0.0,0.0,0.0,0.0
19,inspirational_acxiom,0.005987571230787803,0.2010064159546421,0.0,0.0,0.0,0.0,0.0,0.0
86,marketindicespopulationdemographicsage_total_percentunderage18,0.006012155314832676,5.387457997845725,2.6885496562674995e-07,2.1706094872935834e-05,6.697849397297304e-06,2.1952783874586517e-05,0.0,0.0
56,spending_categoryspend_personalcare,0.006327324818863712,7.377355000231657,0.0,0.0,0.0,0.0,0.0,0.0
36,household_basicdemographics_estimatedincomemin,0.006328992771703535,19885.889602368177,0.0001871649521179383,-5.3250763742596584e-05,0.0001871649521179383,5.3250763742596584e-05,0.0,0.0
48,spending_categoryspend_garden,0.006523069833753185,18.793955356543613,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_offlinedollars,0.006784017779073502,1157.7797312187745,-8.68841324604547e-05,0.00010017321011662727,8.68841324604547e-05,0.00010017321011662727,0.0,0.0
47,spending_categoryspend_furniture,0.006826088756724312,936.1111013039016,4.086432661093168e-05,-0.0015657670608258448,8.812997602283469e-05,0.0019645632428644286,0.0,0.0018143974255737366
