,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
63,spending_categoryspend_travel,0.0,90.72822404874094,0.0,0.0,0.0,0.0,0.0,0.0
53,spending_categoryspend_music,0.0,0.4154306600492851,0.0,0.0,0.0,0.0,0.0,0.0
61,spending_categoryspend_sportsandleisure,0.0,190.8839189263302,0.0,0.0,0.0,0.0,0.0,0.0
29,household_basicdemographics_numberofchildren,0.0,0.4310635732592298,0.0,0.0,0.0,0.0,0.0,0.0
59,spending_categoryspend_specialtyfood,0.0,27.754936336656634,0.0,0.0,0.0,0.0,0.0,0.0
32,spending_categoryspend_artsandantiques,0.0,43.7662177023475,0.0,0.0,0.0,0.0,0.0,0.0
33,spending_categoryspend_automotive,0.0,5.862188346385737,0.0,0.0,0.0,0.0,0.0,0.0
34,spending_categoryspend_beauty,0.0,92.21549315921655,0.0,0.0,0.0,0.0,0.0,0.0
35,spending_categoryspend_books,0.0,165.56564115884666,0.0,0.0,0.0,0.0,0.0,0.0
36,spending_categoryspend_childrensproducts,0.0,87.76345424020377,0.0,0.0,0.0,0.0,0.0,0.0
58,spending_categoryspend_photoandvideo,0.0,2.3294376734912707,0.0,0.0,0.0,0.0,0.0,0.0
64,spending_categoryspend_videosanddvds,0.0,0.24639011718533552,0.0,0.0,0.0,0.0,0.0,0.0
38,spending_categoryspend_computinghomeoffice,0.0,14.085422307942633,0.0,0.0,0.0,0.0,0.0,0.0
40,spending_categoryspend_electronics,0.0,67.33591729738633,0.0,0.0,0.0,0.0,0.0,0.0
41,spending_categoryspend_foodandbeverage,0.0,325.9393645448578,0.0,0.0,0.0,0.0,0.0,0.0
42,spending_categoryspend_furniture,0.0,936.1111013039016,0.0,0.0,0.0,0.0,0.0,0.0
56,spending_categoryspend_personalcare,0.0,7.377355000231657,0.0,0.0,0.0,0.0,0.0,0.0
44,spending_categoryspend_generalmerchandise,0.0,8.68353115747598,0.0,0.0,0.0,0.0,0.0,0.0
46,spending_categoryspend_health,0.0,111.30520467878138,0.0,0.0,0.0,0.0,0.0,0.0
47,spending_categoryspend_holidayitems,0.0,47.39935213112827,0.0,0.0,0.0,0.0,0.0,0.0
48,spending_categoryspend_homecare,0.0,51.142111764699926,0.0,0.0,0.0,0.0,0.0,0.0
50,spending_categoryspend_housewares,0.0,18.83171353150067,0.0,0.0,0.0,0.0,0.0,0.0
55,spending_categoryspend_other,0.0,271.61224561415304,0.0,0.0,0.0,0.0,0.0,0.0
39,spending_categoryspend_craftshobbies,0.0,5.762536156477586,0.0,0.0,0.0,0.0,0.0,0.0
25,upscale_living_acxiom,0.0,0.16911306410630847,0.0,0.0,0.0,0.0,0.0,0.0
54,spending_categoryspend_novelty,0.0,13.045167676799151,0.0,0.0,0.0,0.0,0.0,0.0
23,tv_sports_acxiom,0.0,0.13647979646435238,0.0,0.0,0.0,0.0,0.0,0.0
