SNo|DatasourceName|DependentTables|Env|DatasourceID|AdditionalNotes
1|Revenue Management - Reservation|seaware.seaware_revenue_fact|Prod|7e1dfd03-b26f-49e5-a618-650a3656332a|
2|Revenue Management - Reservation (+Grp Allocated)|seaware.seaware_revenue_fact|Prod|49beaaba-1812-4dbf-a10a-542ac977f447|
3|Revenue Management - Reservation and Cabin|seaware.seaware_revenue_fact|Prod|2fd96d68-9268-4be0-a78d-01b86be22fba|
4|Revenue Management - Reservation and Cabin(with CX)|seaware.seaware_revenue_fact|Prod|5a93a3bf-a92e-4f69-9226-b16be66d8a09|
5|Revenue Management - Commission|seaware.seaware_commission_fact|Prod|05a02773-1b97-44f7-97f1-11d940c2df89|
6|Price Report|seaware.seaware_sail_cabin_fact|Prod|9e8704c0-459f-48bf-910f-e5bc87a60d84|
7|Open Cabin Query|seaware.seaware_sail_cabin_fact|Prod||
8|Category Upgrade (local copy)|seaware.seaware_booked_cabin_reservation_dim|Prod|5e3e54b7-edeb-4a69-9e3d-0c8897304233|
9|Revenue Management  - Payload|seaware.seaware_revenue_summary_fact|Prod|7ba15fb4-eabf-4817-9212-23c8f65b7fe0|
10|Future Voyage Credit|seaware.seaware_transaction_evt|Prod|ad9976ed-16cc-4454-b38e-56d85b69940c|
11|Future Voyage Credit|seaware.seaware_coupon_dim|Prod||
12|FVC Name Change|seaware.seaware_transaction_evt|Prod|a3770751-9796-4f4a-a343-43d9582de273|
13|FVC Name Change|seaware.seaware_coupon_dim|Prod||
14|Revenue Management - Addon|seaware.seaware_addon_fact|Prod|b751a728-f685-44b8-8ec3-b164006c6a69|
15|Revenue Management - Payment Schedule|seaware.seaware_payment_schedule_dim|Prod|f924b476-43f0-4be8-9bd9-49bd6fe7e734|
16|Marketing Performance||Voyager Analytics & Modeling|c4bf082e-84bf-4982-bf5c-bdfc0e4b76a3|
17|Paid Media||Voyager Analytics & Modeling|2ea21265-1bb0-4dc1-aa05-c7bf4b76a319|
18|Salesforce Emails||Voyager Analytics & Modeling|b0e39e8c-03c3-4b5c-8916-54b747d7acd5|
19|Seaware Reservations|seaware_revenue_vw|Voyager Analytics & Modeling|6d2c0352-85eb-4672-b3c0-3c516ad1ff6d|Seaware Bookings
20|Email Campaigns|6efd54be-c802-4691-a89f-660343786fdf|Prod|6efd54be-c802-4691-a89f-660343786fdf|Email Campaigns
21|DigitalPaidMedia|40c0475d-233b-4239-b824-55527fac076e|Prod|40c0475d-233b-4239-b824-55527fac076e|DigitalPaidMedia
22|Bookings|add944c6-e23d-4fd4-b917-1124e5a0bf59|Prod|add944c6-e23d-4fd4-b917-1124e5a0bf59|Bookings
23|SearchPhrasesActivity|103cbfc1-a534-469e-a67b-eb0317b99682|Prod|103cbfc1-a534-469e-a67b-eb0317b99682|SearchPhrasesActivity
